storage technology,tmax (°c),hrmin (%),variety,storage time (days),grain impurities (%),initial total damage (%),final total damage  (%)
grainpro hermetic supergrainbag premium rz with zip,23.44805194805195,47.47402597402598,Native,153,3.9766666666666666,7.105427357601002e-15,2.6599999999999966
polypropylene bag,23.44805194805195,47.47402597402598,Native,153,3.9766666666666666,7.105427357601002e-15,4.920000000000002
hermetic metal silo,23.44805194805195,47.47402597402598,Native,153,3.9766666666666666,7.105427357601002e-15,3.0
grainpro hermetic supergrainbag premium rz with zip,23.631914893617033,48.0709219858156,Native,140,0.0,3.566666666666663,5.199999999999989
polypropylene bag,23.631914893617033,48.0709219858156,Native,140,0.0,3.566666666666663,6.320000000000007
hermetic metal silo,23.631914893617033,48.0709219858156,Native,140,0.0,3.566666666666663,5.469999999999999
grainpro hermetic supergrainbag premium rz with zip,24.427210884353745,44.136054421768705,Native,146,1.2666666666666666,4.733333333333333,5.759999999999991
polypropylene bag,24.427210884353745,44.136054421768705,Native,146,1.2666666666666666,4.733333333333333,7.639999999999986
hermetic metal silo,24.427210884353745,44.136054421768705,Native,146,1.2666666666666666,4.733333333333333,9.439999999999998
grainpro hermetic supergrainbag premium rz with zip,22.677655677655686,32.498168498168496,Native,272,0.5,4.366666666666674,11.780000000000015
polypropylene bag,22.677655677655686,32.498168498168496,Native,272,0.5,4.366666666666674,8.879999999999995
polypropylene bag,22.233695652173918,32.789855072463766,Native,275,0.39999999999999997,4.466666666666674,4.680000000000007
hermetic metal silo,22.233695652173918,32.789855072463766,Native,275,0.39999999999999997,4.466666666666674,5.640000000000001
grainpro hermetic supergrainbag premium rz with zip,25.86953642384106,51.42384105960265,Native,136,0.0,0.20000000000000284,5.6000000000000085
polypropylene bag with micronized lime,25.86953642384106,51.42384105960265,Native,136,0.0,0.20000000000000284,13.599999999999994
hermetic metal silo,25.86953642384106,51.42384105960265,Native,136,0.0,0.20000000000000284,7.3999999999999915
grainpro hermetic supergrainbag premium rz with zip,17.823762376237624,64.13861386138613,Native,100,1.0,3.0,4.0
grainpro hermetic supergrainbag premium rz with zip,26.638,23.805,Native,199,4.773092974538691,4.77309297453869,5.320000000000007
grainpro hermetic supergrainbag farm,31.734065934065942,26.98901098901099,Native,90,0.0,2.166233766233759,6.0
polypropylene bag with aluminum phosphide,31.734065934065942,26.98901098901099,Native,90,0.0,2.166233766233759,4.0
hermetic metal silo,31.734065934065942,26.98901098901099,Native,90,0.0,2.166233766233759,6.200000000000003
grainpro hermetic supergrainbag farm,31.734065934065942,26.98901098901099,Native,90,0.0,2.1130044843049376,6.200000000000003
grainpro hermetic supergrainbag premium rz with zip,27.329885057471266,26.666666666666668,Native,86,1.0158192090395481,1.6159322033898327,2.0
grainpro hermetic supergrainbag farm,27.330434782608698,30.159420289855074,Native,68,0.0,2.6666666666666714,6.926000000000002
grainpro hermetic supergrainbag farm,27.330434782608698,30.159420289855074,Native,68,0.0,2.6666666666666714,6.0
grainpro hermetic supergrainbag farm,27.330434782608698,30.159420289855074,Native,68,0.0,2.6666666666666714,11.599999999999994
polypropylene bag,26.79473684210526,35.37894736842105,Native,94,0.0,1.086666666666659,23.620000000000005
grainpro hermetic supergrainbag premium rz with zip,23.147560975609753,67.09756097560975,Native,92,0.08,0.4933333333333377,0.6399999999999864
silage plastic bag,23.147560975609753,67.09756097560975,Native,92,0.08,0.4933333333333377,5.780000000000001
