tmax (°c),hrmin (%),storage time (days),grain impurities (%),initial total damage (%),final total damage  (%),storage_grainpro hermetic supergrainbag farm,storage_grainpro hermetic supergrainbag premium rz with zip,storage_hermetic metal silo,storage_plastic barrel,storage_plastic bottle,storage_polypropylene bag,storage_polypropylene bag with aluminum phosphide,storage_polypropylene bag with deodorized malathion,storage_polypropylene bag with micronized lime,storage_polypropylene bag with standard lime,storage_silage plastic bag,variety_Hybrid,variety_Native
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,12.16783216783217,True,False,False,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,9.480519480519488,True,False,False,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,9.22077922077922,True,False,False,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,16.55,False,False,True,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,7.594810379241507,False,False,True,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,9.080000000000007,False,False,True,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,76.35000000000001,False,False,False,False,False,False,True,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,53.17999999999999,False,False,False,False,False,False,True,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,49.86,False,False,False,False,False,False,True,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,32.400000000000006,False,False,False,False,False,False,False,False,True,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,16.499999999999996,False,False,False,False,False,False,False,False,True,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,26.267465069860293,False,False,False,False,False,False,False,False,True,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,9.730000000000006,True,False,False,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,10.049999999999994,True,False,False,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,8.950000000000003,True,False,False,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,15.32338308457712,False,False,True,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,11.376237623762373,False,False,True,False,False,False,False,False,False,False,False,True,False
28.484435483870968,61.12110215053763,210,0.07998667998667999,4.084948384948399,15.309999999999999,False,False,True,False,False,False,False,False,False,False,False,True,False
28.174677419354836,45.95483870967742,30,0.13,2.0499999999999927,2.279999999999999,False,False,True,False,False,False,False,False,False,False,False,True,False
28.174677419354836,45.95483870967742,30,0.13,2.0499999999999927,2.099999999999998,False,False,True,False,False,False,False,False,False,False,False,True,False
28.174677419354836,45.95483870967742,30,0.13,2.0499999999999927,2.9799999999999893,False,False,False,False,False,False,False,False,False,True,False,True,False
28.174677419354836,45.95483870967742,30,0.13,2.0499999999999927,2.1600000000000064,False,False,False,False,False,False,False,False,False,True,False,True,False
26.8458064516129,60.27123655913978,88,0.13,2.0499999999999927,2.3600000000000074,False,False,True,False,False,False,False,False,False,False,False,True,False
26.8458064516129,60.27123655913978,88,0.13,2.0499999999999927,2.2500000000000044,False,False,False,False,False,False,False,False,False,True,False,True,False
26.8458064516129,60.27123655913978,88,0.13,2.0499999999999927,2.1999999999999966,False,False,False,False,False,False,True,False,False,False,False,True,False
26.8458064516129,60.27123655913978,88,0.13,2.0499999999999927,2.840000000000001,False,False,False,False,False,False,True,False,False,False,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,2.660000000000011,False,False,False,False,False,False,False,False,False,True,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,2.3541147132169673,False,False,False,False,False,False,False,False,False,True,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,3.4561981819998104,False,False,False,False,False,False,False,False,False,True,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,2.179999999999998,True,False,False,False,False,False,False,False,False,False,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,2.2200000000000055,True,False,False,False,False,False,False,False,False,False,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,16.348746629381797,False,False,False,False,False,False,True,False,False,False,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,21.57999999999999,False,False,False,False,False,False,True,False,False,False,False,True,False
26.60772657450077,63.748233486943164,180,0.13,2.0499999999999927,15.299999999999992,False,False,False,False,False,False,True,False,False,False,False,True,False
20.45876344086021,67.88817204301075,30,0.7653333333333334,11.007999999999992,12.484993997599041,False,False,False,False,False,False,True,False,False,False,False,True,False
20.45876344086021,67.88817204301075,30,0.7653333333333334,11.007999999999992,11.54653603918825,True,False,False,False,False,False,False,False,False,False,False,True,False
20.45876344086021,67.88817204301075,30,0.7653333333333334,11.007999999999992,13.909587680079472,False,False,True,False,False,False,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,12.612253043304728,False,False,False,False,False,True,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,14.288565156655363,False,False,False,False,False,True,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,18.39762611275964,False,False,False,False,False,True,False,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,13.512437810945274,False,False,False,False,False,False,True,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,15.406106565555787,False,False,False,False,False,False,True,False,False,False,False,True,False
21.2683955453149,49.523317972350235,270,0.7653333333333334,11.007999999999992,13.84462151394422,False,False,False,False,False,False,True,False,False,False,False,True,False
